,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_median,salary_in_usd_median
16,2020,Entry-level,Full-Time,Data Engineer,4450000,JPY,41689,JP,Fully Remote,JP,Small (less than 50 employees),2225000,20844
17,2020,Senior-level,Full-Time,Big Data Engineer,100000,EUR,114047,PL,Fully Remote,GB,Small (less than 50 employees),50000,57023
18,2020,Entry-level,Full-Time,Data Science Consultant,423000,INR,5707,IN,Partially Remote,IN,Medium (between 50 and 250 employess),211500,2853
19,2020,Mid-level,Full-Time,Lead Data Engineer,56000,USD,56000,PT,Fully Remote,US,Medium (between 50 and 250 employess),28000,28000
20,2020,Mid-level,Full-Time,Machine Learning Engineer,299000,CNY,43331,CN,Remote Work,CN,Medium (between 50 and 250 employess),149500,21665
21,2020,Mid-level,Full-Time,Product Data Analyst,450000,INR,6072,IN,Fully Remote,IN,Large (more than 250 employees),225000,3036
22,2020,Senior-level,Full-Time,Data Engineer,42000,EUR,47899,GR,Partially Remote,GR,Large (more than 250 employees),21000,23949
23,2020,Mid-level,Full-Time,BI Data Analyst,98000,USD,98000,US,Remote Work,US,Medium (between 50 and 250 employess),49000,49000
24,2020,Mid-level,Full-Time,Lead Data Scientist,115000,USD,115000,AE,Remote Work,AE,Large (more than 250 employees),57500,57500
25,2020,Executive-level,Full-Time,Director of Data Science,325000,USD,325000,US,Fully Remote,US,Large (more than 250 employees),162500,162500
26,2020,Entry-level,Full-Time,Research Scientist,42000,USD,42000,NL,Partially Remote,NL,Large (more than 250 employees),21000,21000
27,2020,Senior-level,Full-Time,Data Engineer,720000,MXN,33511,MX,Remote Work,MX,Small (less than 50 employees),360000,16755
28,2020,Entry-level,Contract,Business Data Analyst,100000,USD,100000,US,Fully Remote,US,Large (more than 250 employees),50000,50000
29,2020,Senior-level,Full-Time,Machine Learning Manager,157000,CAD,117104,CA,Partially Remote,CA,Large (more than 250 employees),78500,58552
30,2020,Mid-level,Full-Time,Data Engineering Manager,51999,EUR,59303,DE,Fully Remote,DE,Small (less than 50 employees),25999,29651
31,2020,Entry-level,Full-Time,Big Data Engineer,70000,USD,70000,US,Fully Remote,US,Large (more than 250 employees),35000,35000
32,2020,Senior-level,Full-Time,Data Scientist,60000,EUR,68428,GR,Fully Remote,US,Large (more than 250 employees),30000,34214
33,2020,Mid-level,Full-Time,Research Scientist,450000,USD,450000,US,Remote Work,US,Medium (between 50 and 250 employess),225000,225000
34,2020,Mid-level,Full-Time,Data Analyst,41000,EUR,46759,FR,Partially Remote,FR,Large (more than 250 employees),20500,23379
35,2020,Mid-level,Full-Time,Data Engineer,65000,EUR,74130,AT,Partially Remote,AT,Large (more than 250 employees),32500,37065
36,2020,Mid-level,Full-Time,Data Science Consultant,103000,USD,103000,US,Fully Remote,US,Large (more than 250 employees),51500,51500
37,2020,Entry-level,Full-Time,Machine Learning Engineer,250000,USD,250000,US,Partially Remote,US,Large (more than 250 employees),125000,125000
38,2020,Entry-level,Full-Time,Data Analyst,10000,USD,10000,NG,Fully Remote,NG,Small (less than 50 employees),5000,5000
39,2020,Entry-level,Full-Time,Machine Learning Engineer,138000,USD,138000,US,Fully Remote,US,Small (less than 50 employees),69000,69000
40,2020,Mid-level,Full-Time,Data Scientist,45760,USD,45760,PH,Fully Remote,US,Small (less than 50 employees),22880,22880
41,2020,Executive-level,Full-Time,Data Engineering Manager,70000,EUR,79833,ES,Partially Remote,ES,Large (more than 250 employees),35000,39916
42,2020,Mid-level,Full-Time,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,Remote Work,PT,Medium (between 50 and 250 employess),22000,25090
43,2020,Mid-level,Full-Time,Data Engineer,106000,USD,106000,US,Fully Remote,US,Large (more than 250 employees),53000,53000
44,2020,Mid-level,Full-Time,Data Engineer,88000,GBP,112872,GB,Partially Remote,GB,Large (more than 250 employees),44000,56436
45,2020,Entry-level,Part-Time,ML Engineer,14000,EUR,15966,DE,Fully Remote,DE,Small (less than 50 employees),7000,7983
46,2020,Mid-level,Full-Time,Data Scientist,60000,GBP,76958,GB,Fully Remote,GB,Small (less than 50 employees),30000,38479
47,2020,Senior-level,Full-Time,Data Engineer,188000,USD,188000,US,Fully Remote,US,Large (more than 250 employees),94000,94000
48,2020,Mid-level,Full-Time,Data Scientist,105000,USD,105000,US,Fully Remote,US,Large (more than 250 employees),52500,52500
49,2020,Mid-level,Full-Time,Data Engineer,61500,EUR,70139,FR,Partially Remote,FR,Large (more than 250 employees),30750,35069
50,2020,Entry-level,Full-Time,Data Analyst,450000,INR,6072,IN,Remote Work,IN,Small (less than 50 employees),225000,3036
51,2020,Entry-level,Full-Time,Data Analyst,91000,USD,91000,US,Fully Remote,US,Large (more than 250 employees),45500,45500
52,2020,Entry-level,Full-Time,AI Scientist,300000,DKK,45896,DK,Partially Remote,DK,Small (less than 50 employees),150000,22948
53,2020,Entry-level,Full-Time,Data Engineer,48000,EUR,54742,PK,Fully Remote,DE,Large (more than 250 employees),24000,27371
54,2020,Senior-level,Freelancer,Computer Vision Engineer,60000,USD,60000,RU,Fully Remote,US,Small (less than 50 employees),30000,30000
55,2020,Senior-level,Full-Time,Principal Data Scientist,130000,EUR,148261,DE,Fully Remote,DE,Medium (between 50 and 250 employess),65000,74130
56,2020,Mid-level,Full-Time,Data Scientist,34000,EUR,38776,ES,Fully Remote,ES,Medium (between 50 and 250 employess),17000,19388
57,2020,Mid-level,Full-Time,Data Scientist,118000,USD,118000,US,Fully Remote,US,Medium (between 50 and 250 employess),59000,59000
58,2020,Senior-level,Full-Time,Data Scientist,120000,USD,120000,US,Partially Remote,US,Large (more than 250 employees),60000,60000
59,2020,Mid-level,Full-Time,Data Scientist,138350,USD,138350,US,Fully Remote,US,Medium (between 50 and 250 employess),69175,69175
60,2020,Mid-level,Full-Time,Data Engineer,110000,USD,110000,US,Fully Remote,US,Large (more than 250 employees),55000,55000
61,2020,Mid-level,Full-Time,Data Engineer,130800,USD,130800,ES,Fully Remote,US,Medium (between 50 and 250 employess),65400,65400
62,2020,Entry-level,Part-Time,Data Scientist,19000,EUR,21669,IT,Partially Remote,IT,Small (less than 50 employees),9500,10834
63,2020,Senior-level,Full-Time,Data Scientist,412000,USD,412000,US,Fully Remote,US,Large (more than 250 employees),206000,206000
64,2020,Senior-level,Full-Time,Machine Learning Engineer,40000,EUR,45618,HR,Fully Remote,HR,Small (less than 50 employees),20000,22809
65,2020,Entry-level,Full-Time,Data Scientist,55000,EUR,62726,DE,Partially Remote,DE,Small (less than 50 employees),27500,31363
66,2020,Entry-level,Full-Time,Data Scientist,43200,EUR,49268,DE,Remote Work,DE,Small (less than 50 employees),21600,24634
67,2020,Senior-level,Full-Time,Data Science Manager,190200,USD,190200,US,Fully Remote,US,Medium (between 50 and 250 employess),95100,95100
68,2020,Entry-level,Full-Time,Data Scientist,105000,USD,105000,US,Fully Remote,US,Small (less than 50 employees),52500,52500
69,2020,Senior-level,Full-Time,Data Scientist,80000,EUR,91237,AT,Remote Work,AT,Small (less than 50 employees),40000,45618
70,2020,Mid-level,Full-Time,Data Scientist,55000,EUR,62726,FR,Partially Remote,LU,Small (less than 50 employees),27500,31363
71,2020,Mid-level,Full-Time,Data Scientist,37000,EUR,42197,FR,Partially Remote,FR,Small (less than 50 employees),18500,21098
72,2021,Entry-level,Full-Time,Research Scientist,60000,GBP,82528,GB,Partially Remote,GB,Large (more than 250 employees),30000,41264
73,2021,Executive-level,Full-Time,BI Data Analyst,150000,USD,150000,IN,Fully Remote,US,Large (more than 250 employees),75000,75000
74,2021,Executive-level,Full-Time,Head of Data,235000,USD,235000,US,Fully Remote,US,Large (more than 250 employees),117500,117500
75,2021,Senior-level,Full-Time,Data Scientist,45000,EUR,53192,FR,Partially Remote,FR,Large (more than 250 employees),22500,26596
76,2021,Mid-level,Full-Time,BI Data Analyst,100000,USD,100000,US,Fully Remote,US,Medium (between 50 and 250 employess),50000,50000
77,2021,Mid-level,Part-Time,3D Computer Vision Researcher,400000,INR,5409,IN,Partially Remote,IN,Medium (between 50 and 250 employess),200000,2704
78,2021,Mid-level,Contract,ML Engineer,270000,USD,270000,US,Fully Remote,US,Large (more than 250 employees),135000,135000
79,2021,Entry-level,Full-Time,Data Analyst,80000,USD,80000,US,Fully Remote,US,Medium (between 50 and 250 employess),40000,40000
80,2021,Senior-level,Full-Time,Data Analytics Engineer,67000,EUR,79197,DE,Fully Remote,DE,Large (more than 250 employees),33500,39598
81,2021,Mid-level,Full-Time,Data Engineer,140000,USD,140000,US,Fully Remote,US,Large (more than 250 employees),70000,70000
82,2021,Mid-level,Full-Time,Applied Data Scientist,68000,CAD,54238,GB,Partially Remote,CA,Large (more than 250 employees),34000,27119
83,2021,Mid-level,Full-Time,Machine Learning Engineer,40000,EUR,47282,ES,Fully Remote,ES,Small (less than 50 employees),20000,23641
84,2021,Executive-level,Full-Time,Director of Data Science,130000,EUR,153667,IT,Fully Remote,PL,Large (more than 250 employees),65000,76833
85,2021,Mid-level,Full-Time,Data Engineer,110000,PLN,28476,PL,Fully Remote,PL,Large (more than 250 employees),55000,14238
86,2021,Entry-level,Full-Time,Data Analyst,50000,EUR,59102,FR,Partially Remote,FR,Medium (between 50 and 250 employess),25000,29551
87,2021,Mid-level,Full-Time,Data Analytics Engineer,110000,USD,110000,US,Fully Remote,US,Large (more than 250 employees),55000,55000
88,2021,Senior-level,Full-Time,Lead Data Analyst,170000,USD,170000,US,Fully Remote,US,Large (more than 250 employees),85000,85000
89,2021,Senior-level,Full-Time,Data Analyst,80000,USD,80000,BG,Fully Remote,US,Small (less than 50 employees),40000,40000
90,2021,Senior-level,Full-Time,Marketing Data Analyst,75000,EUR,88654,GR,Fully Remote,DK,Large (more than 250 employees),37500,44327
91,2021,Entry-level,Full-Time,Data Science Consultant,65000,EUR,76833,DE,Fully Remote,DE,Small (less than 50 employees),32500,38416
92,2021,Mid-level,Full-Time,Lead Data Analyst,1450000,INR,19609,IN,Fully Remote,IN,Large (more than 250 employees),725000,9804
93,2021,Senior-level,Full-Time,Lead Data Engineer,276000,USD,276000,US,Remote Work,US,Large (more than 250 employees),138000,138000
94,2021,Entry-level,Full-Time,Data Scientist,2200000,INR,29751,IN,Partially Remote,IN,Large (more than 250 employees),1100000,14875
95,2021,Mid-level,Full-Time,Cloud Data Engineer,120000,SGD,89294,SG,Partially Remote,SG,Large (more than 250 employees),60000,44647
96,2021,Entry-level,Part-Time,AI Scientist,12000,USD,12000,BR,Fully Remote,US,Small (less than 50 employees),6000,6000
97,2021,Mid-level,Full-Time,Financial Data Analyst,450000,USD,450000,US,Fully Remote,US,Large (more than 250 employees),225000,225000
98,2021,Entry-level,Full-Time,Computer Vision Software Engineer,70000,USD,70000,US,Fully Remote,US,Medium (between 50 and 250 employess),35000,35000
99,2021,Mid-level,Full-Time,Computer Vision Software Engineer,81000,EUR,95746,DE,Fully Remote,US,Small (less than 50 employees),40500,47873
100,2021,Mid-level,Full-Time,Data Analyst,75000,USD,75000,US,Remote Work,US,Large (more than 250 employees),37500,37500
101,2021,Senior-level,Full-Time,Data Engineer,150000,USD,150000,US,Fully Remote,US,Large (more than 250 employees),75000,75000
102,2021,Mid-level,Full-Time,BI Data Analyst,11000000,HUF,36259,HU,Partially Remote,US,Large (more than 250 employees),5500000,18129
103,2021,Mid-level,Full-Time,Data Analyst,62000,USD,62000,US,Remote Work,US,Large (more than 250 employees),31000,31000
104,2021,Mid-level,Full-Time,Data Scientist,73000,USD,73000,US,Remote Work,US,Large (more than 250 employees),36500,36500
105,2021,Mid-level,Full-Time,Data Analyst,37456,GBP,51519,GB,Partially Remote,GB,Large (more than 250 employees),18728,25759
106,2021,Mid-level,Full-Time,Research Scientist,235000,CAD,187442,CA,Fully Remote,CA,Large (more than 250 employees),117500,93721
107,2021,Senior-level,Full-Time,Data Engineer,115000,USD,115000,US,Fully Remote,US,Small (less than 50 employees),57500,57500
108,2021,Senior-level,Full-Time,Data Engineer,150000,USD,150000,US,Fully Remote,US,Medium (between 50 and 250 employess),75000,75000
109,2021,Entry-level,Full-Time,Data Engineer,2250000,INR,30428,IN,Fully Remote,IN,Large (more than 250 employees),1125000,15214
110,2021,Senior-level,Full-Time,Machine Learning Engineer,80000,EUR,94564,DE,Partially Remote,DE,Large (more than 250 employees),40000,47282
111,2021,Senior-level,Full-Time,Director of Data Engineering,82500,GBP,113476,GB,Fully Remote,GB,Medium (between 50 and 250 employess),41250,56738
112,2021,Senior-level,Full-Time,Lead Data Engineer,75000,GBP,103160,GB,Fully Remote,GB,Small (less than 50 employees),37500,51580
113,2021,Entry-level,Part-Time,AI Scientist,12000,USD,12000,PK,Fully Remote,US,Medium (between 50 and 250 employess),6000,6000
114,2021,Mid-level,Full-Time,Data Engineer,38400,EUR,45391,NL,Fully Remote,NL,Large (more than 250 employees),19200,22695
115,2021,Entry-level,Full-Time,Machine Learning Scientist,225000,USD,225000,US,Fully Remote,US,Large (more than 250 employees),112500,112500
116,2021,Mid-level,Full-Time,Data Scientist,50000,USD,50000,NG,Fully Remote,NG,Large (more than 250 employees),25000,25000
117,2021,Mid-level,Full-Time,Data Science Engineer,34000,EUR,40189,GR,Fully Remote,GR,Medium (between 50 and 250 employess),17000,20094
118,2021,Entry-level,Full-Time,Data Analyst,90000,USD,90000,US,Fully Remote,US,Small (less than 50 employees),45000,45000
119,2021,Mid-level,Full-Time,Data Engineer,200000,USD,200000,US,Fully Remote,US,Large (more than 250 employees),100000,100000
120,2021,Mid-level,Full-Time,Big Data Engineer,60000,USD,60000,ES,Partially Remote,RO,Medium (between 50 and 250 employess),30000,30000
121,2021,Senior-level,Full-Time,Principal Data Engineer,200000,USD,200000,US,Fully Remote,US,Medium (between 50 and 250 employess),100000,100000
122,2021,Entry-level,Full-Time,Data Analyst,50000,USD,50000,US,Fully Remote,US,Medium (between 50 and 250 employess),25000,25000
123,2021,Entry-level,Full-Time,Applied Data Scientist,80000,GBP,110037,GB,Remote Work,GB,Large (more than 250 employees),40000,55018
124,2021,Entry-level,Part-Time,Data Analyst,8760,EUR,10354,ES,Partially Remote,ES,Medium (between 50 and 250 employess),4380,5177
125,2021,Mid-level,Full-Time,Principal Data Scientist,151000,USD,151000,US,Fully Remote,US,Large (more than 250 employees),75500,75500
126,2021,Senior-level,Full-Time,Machine Learning Scientist,120000,USD,120000,US,Partially Remote,US,Small (less than 50 employees),60000,60000
127,2021,Mid-level,Full-Time,Data Scientist,700000,INR,9466,IN,Remote Work,IN,Small (less than 50 employees),350000,4733
128,2021,Entry-level,Full-Time,Machine Learning Engineer,20000,USD,20000,IN,Fully Remote,IN,Small (less than 50 employees),10000,10000
129,2021,Senior-level,Full-Time,Lead Data Scientist,3000000,INR,40570,IN,Partially Remote,IN,Large (more than 250 employees),1500000,20285
130,2021,Entry-level,Full-Time,Machine Learning Developer,100000,USD,100000,IQ,Partially Remote,IQ,Small (less than 50 employees),50000,50000
131,2021,Entry-level,Full-Time,Data Scientist,42000,EUR,49646,FR,Partially Remote,FR,Medium (between 50 and 250 employess),21000,24823
132,2021,Mid-level,Full-Time,Applied Machine Learning Scientist,38400,USD,38400,VN,Fully Remote,US,Medium (between 50 and 250 employess),19200,19200
133,2021,Senior-level,Full-Time,Computer Vision Engineer,24000,USD,24000,BR,Fully Remote,BR,Medium (between 50 and 250 employess),12000,12000
134,2021,Entry-level,Full-Time,Data Scientist,100000,USD,100000,US,Remote Work,US,Small (less than 50 employees),50000,50000
135,2021,Mid-level,Full-Time,Data Analyst,90000,USD,90000,US,Fully Remote,US,Medium (between 50 and 250 employess),45000,45000
136,2021,Mid-level,Full-Time,ML Engineer,7000000,JPY,63711,JP,Partially Remote,JP,Small (less than 50 employees),3500000,31855
137,2021,Mid-level,Full-Time,ML Engineer,8500000,JPY,77364,JP,Partially Remote,JP,Small (less than 50 employees),4250000,38682
138,2021,Senior-level,Full-Time,Principal Data Scientist,220000,USD,220000,US,Remote Work,US,Large (more than 250 employees),110000,110000
139,2021,Entry-level,Full-Time,Data Scientist,80000,USD,80000,US,Fully Remote,US,Medium (between 50 and 250 employess),40000,40000
140,2021,Mid-level,Full-Time,Data Analyst,135000,USD,135000,US,Fully Remote,US,Large (more than 250 employees),67500,67500
141,2021,Senior-level,Full-Time,Data Science Manager,240000,USD,240000,US,Remote Work,US,Large (more than 250 employees),120000,120000
142,2021,Senior-level,Full-Time,Data Engineering Manager,150000,USD,150000,US,Remote Work,US,Large (more than 250 employees),75000,75000
143,2021,Mid-level,Full-Time,Data Scientist,82500,USD,82500,US,Fully Remote,US,Small (less than 50 employees),41250,41250
144,2021,Mid-level,Full-Time,Data Engineer,100000,USD,100000,US,Fully Remote,US,Large (more than 250 employees),50000,50000
145,2021,Senior-level,Full-Time,Machine Learning Engineer,70000,EUR,82744,BE,Partially Remote,BE,Medium (between 50 and 250 employess),35000,41372
146,2021,Mid-level,Full-Time,Research Scientist,53000,EUR,62649,FR,Partially Remote,FR,Medium (between 50 and 250 employess),26500,31324
147,2021,Mid-level,Full-Time,Data Engineer,90000,USD,90000,US,Fully Remote,US,Large (more than 250 employees),45000,45000
148,2021,Senior-level,Full-Time,Data Engineering Manager,153000,USD,153000,US,Fully Remote,US,Large (more than 250 employees),76500,76500
149,2021,Senior-level,Full-Time,Cloud Data Engineer,160000,USD,160000,BR,Fully Remote,US,Small (less than 50 employees),80000,80000
150,2021,Senior-level,Full-Time,Director of Data Science,168000,USD,168000,JP,Remote Work,JP,Small (less than 50 employees),84000,84000
151,2021,Mid-level,Full-Time,Data Scientist,150000,USD,150000,US,Fully Remote,US,Medium (between 50 and 250 employess),75000,75000
152,2021,Mid-level,Full-Time,Data Scientist,95000,CAD,75774,CA,Fully Remote,CA,Large (more than 250 employees),47500,37887
153,2021,Entry-level,Full-Time,Data Scientist,13400,USD,13400,UA,Fully Remote,UA,Large (more than 250 employees),6700,6700
154,2021,Senior-level,Full-Time,Data Science Manager,144000,USD,144000,US,Fully Remote,US,Large (more than 250 employees),72000,72000
155,2021,Senior-level,Full-Time,Data Science Engineer,159500,CAD,127221,CA,Partially Remote,CA,Large (more than 250 employees),79750,63610
156,2021,Mid-level,Full-Time,Data Scientist,160000,SGD,119059,SG,Fully Remote,IL,Medium (between 50 and 250 employess),80000,59529
157,2021,Mid-level,Full-Time,Applied Machine Learning Scientist,423000,USD,423000,US,Partially Remote,US,Large (more than 250 employees),211500,211500
158,2021,Senior-level,Full-Time,Data Analytics Manager,120000,USD,120000,US,Fully Remote,US,Medium (between 50 and 250 employess),60000,60000
159,2021,Entry-level,Full-Time,Machine Learning Engineer,125000,USD,125000,US,Fully Remote,US,Small (less than 50 employees),62500,62500
160,2021,Executive-level,Full-Time,Head of Data,230000,USD,230000,RU,Partially Remote,RU,Large (more than 250 employees),115000,115000
161,2021,Executive-level,Full-Time,Head of Data Science,85000,USD,85000,RU,Remote Work,RU,Medium (between 50 and 250 employess),42500,42500
162,2021,Mid-level,Full-Time,Data Engineer,24000,EUR,28369,MT,Partially Remote,MT,Large (more than 250 employees),12000,14184
163,2021,Entry-level,Full-Time,Data Science Consultant,54000,EUR,63831,DE,Partially Remote,DE,Large (more than 250 employees),27000,31915
164,2021,Executive-level,Full-Time,Director of Data Science,110000,EUR,130026,DE,Partially Remote,DE,Medium (between 50 and 250 employess),55000,65013
165,2021,Senior-level,Full-Time,Data Specialist,165000,USD,165000,US,Fully Remote,US,Large (more than 250 employees),82500,82500
166,2021,Entry-level,Full-Time,Data Engineer,80000,USD,80000,US,Fully Remote,US,Large (more than 250 employees),40000,40000
167,2021,Executive-level,Full-Time,Director of Data Science,250000,USD,250000,US,Remote Work,US,Large (more than 250 employees),125000,125000
168,2021,Entry-level,Full-Time,BI Data Analyst,55000,USD,55000,US,Partially Remote,US,Small (less than 50 employees),27500,27500
169,2021,Mid-level,Full-Time,Data Architect,150000,USD,150000,US,Fully Remote,US,Large (more than 250 employees),75000,75000
170,2021,Mid-level,Full-Time,Data Architect,170000,USD,170000,US,Fully Remote,US,Large (more than 250 employees),85000,85000
171,2021,Mid-level,Full-Time,Data Engineer,60000,GBP,82528,GB,Fully Remote,GB,Large (more than 250 employees),30000,41264
172,2021,Entry-level,Full-Time,Data Analyst,60000,USD,60000,US,Fully Remote,US,Small (less than 50 employees),30000,30000
173,2021,Senior-level,Full-Time,Principal Data Scientist,235000,USD,235000,US,Fully Remote,US,Large (more than 250 employees),117500,117500
174,2021,Senior-level,Full-Time,Research Scientist,51400,EUR,60757,PT,Partially Remote,PT,Large (more than 250 employees),25700,30378
175,2021,Senior-level,Full-Time,Data Engineering Manager,174000,USD,174000,US,Fully Remote,US,Large (more than 250 employees),87000,87000
176,2021,Mid-level,Full-Time,Data Scientist,58000,MXN,2859,MX,Remote Work,MX,Small (less than 50 employees),29000,1429
177,2021,Mid-level,Full-Time,Data Scientist,30400000,CLP,40038,CL,Fully Remote,CL,Large (more than 250 employees),15200000,20019
178,2021,Entry-level,Full-Time,Machine Learning Engineer,81000,USD,81000,US,Partially Remote,US,Small (less than 50 employees),40500,40500
179,2021,Mid-level,Full-Time,Data Scientist,420000,INR,5679,IN,Fully Remote,US,Small (less than 50 employees),210000,2839
180,2021,Mid-level,Full-Time,Big Data Engineer,1672000,INR,22611,IN,Remote Work,IN,Large (more than 250 employees),836000,11305
181,2021,Mid-level,Full-Time,Data Scientist,76760,EUR,90734,DE,Partially Remote,DE,Large (more than 250 employees),38380,45367
182,2021,Mid-level,Full-Time,Data Engineer,22000,EUR,26005,RO,Remote Work,US,Large (more than 250 employees),11000,13002
183,2021,Senior-level,Full-Time,Finance Data Analyst,45000,GBP,61896,GB,Partially Remote,GB,Large (more than 250 employees),22500,30948
184,2021,Mid-level,Freelancer,Machine Learning Scientist,12000,USD,12000,PK,Partially Remote,PK,Medium (between 50 and 250 employess),6000,6000
185,2021,Mid-level,Full-Time,Data Engineer,4000,USD,4000,IR,Fully Remote,IR,Medium (between 50 and 250 employess),2000,2000
186,2021,Senior-level,Full-Time,Data Analytics Engineer,50000,USD,50000,VN,Fully Remote,GB,Medium (between 50 and 250 employess),25000,25000
187,2021,Executive-level,Full-Time,Data Science Consultant,59000,EUR,69741,FR,Fully Remote,ES,Small (less than 50 employees),29500,34870
188,2021,Senior-level,Full-Time,Data Engineer,65000,EUR,76833,RO,Partially Remote,GB,Small (less than 50 employees),32500,38416
189,2021,Mid-level,Full-Time,Machine Learning Engineer,74000,USD,74000,JP,Partially Remote,JP,Small (less than 50 employees),37000,37000
190,2021,Senior-level,Full-Time,Data Science Manager,152000,USD,152000,US,Fully Remote,FR,Large (more than 250 employees),76000,76000
191,2021,Entry-level,Full-Time,Machine Learning Engineer,21844,USD,21844,CO,Partially Remote,CO,Medium (between 50 and 250 employess),10922,10922
192,2021,Mid-level,Full-Time,Big Data Engineer,18000,USD,18000,MD,Remote Work,MD,Small (less than 50 employees),9000,9000
193,2021,Senior-level,Full-Time,Data Science Manager,174000,USD,174000,US,Fully Remote,US,Large (more than 250 employees),87000,87000
194,2021,Senior-level,Full-Time,Research Scientist,120500,CAD,96113,CA,Partially Remote,CA,Large (more than 250 employees),60250,48056
195,2021,Mid-level,Full-Time,Data Scientist,147000,USD,147000,US,Partially Remote,US,Large (more than 250 employees),73500,73500
196,2021,Entry-level,Full-Time,BI Data Analyst,9272,USD,9272,KE,Fully Remote,KE,Small (less than 50 employees),4636,4636
197,2021,Senior-level,Full-Time,Machine Learning Engineer,1799997,INR,24342,IN,Fully Remote,IN,Large (more than 250 employees),899998,12171
198,2021,Senior-level,Full-Time,Data Science Manager,4000000,INR,54094,IN,Partially Remote,US,Large (more than 250 employees),2000000,27047
199,2021,Entry-level,Full-Time,Data Science Consultant,90000,USD,90000,US,Fully Remote,US,Small (less than 50 employees),45000,45000
200,2021,Mid-level,Full-Time,Data Scientist,52000,EUR,61467,DE,Partially Remote,AT,Medium (between 50 and 250 employess),26000,30733
201,2021,Senior-level,Full-Time,Machine Learning Infrastructure Engineer,195000,USD,195000,US,Fully Remote,US,Medium (between 50 and 250 employess),97500,97500
202,2021,Mid-level,Full-Time,Data Scientist,32000,EUR,37825,ES,Fully Remote,ES,Large (more than 250 employees),16000,18912
203,2021,Senior-level,Full-Time,Research Scientist,50000,USD,50000,FR,Fully Remote,US,Small (less than 50 employees),25000,25000
204,2021,Mid-level,Full-Time,Data Scientist,160000,USD,160000,US,Fully Remote,US,Large (more than 250 employees),80000,80000
205,2021,Mid-level,Full-Time,Data Scientist,69600,BRL,12901,BR,Remote Work,BR,Small (less than 50 employees),34800,6450
206,2021,Senior-level,Full-Time,Machine Learning Engineer,200000,USD,200000,US,Fully Remote,US,Large (more than 250 employees),100000,100000
207,2021,Senior-level,Full-Time,Data Engineer,165000,USD,165000,US,Remote Work,US,Medium (between 50 and 250 employess),82500,82500
208,2021,Mid-level,Freelancer,Data Engineer,20000,USD,20000,IT,Remote Work,US,Large (more than 250 employees),10000,10000
209,2021,Senior-level,Full-Time,Data Analytics Manager,120000,USD,120000,US,Remote Work,US,Large (more than 250 employees),60000,60000
210,2021,Mid-level,Full-Time,Machine Learning Engineer,21000,EUR,24823,SI,Partially Remote,SI,Large (more than 250 employees),10500,12411
211,2021,Mid-level,Full-Time,Research Scientist,48000,EUR,56738,FR,Partially Remote,FR,Small (less than 50 employees),24000,28369
212,2021,Mid-level,Full-Time,Data Engineer,48000,GBP,66022,HK,Partially Remote,GB,Small (less than 50 employees),24000,33011
